"PRENOTAZIONE","NINGRESSO","Titolo","Autore ","Casa editrice","Disponibilità","CDD","ABBREVIAZ","SOGGETTO","ISBN","PAGINE","LUOGOEDIZ","COLLANA","ULTIMOAGG","ANNO_ED","PROGRESSIVO"
,"U03552","Morazzone: storia di una comunità. Vol. 1: dalla Preistoria al Settecento","AA.VV.","ASK","LIBRO DISPONIBILE","945.22","MOR","1.Morazzone-Storia",," 181","Varese",,07/10/2002,"1991",3552
,"U03553","Architettura contadina nel varesotto","Fumagalli, Alberto","Silvana","LIBRO DISPONIBILE","728","FUM","1.Architettura rustica-Varese (provincia)",," 138","Milano",,12/09/2002,"1985",3553
,"U03554","Lombardia '89. Duecento anni di storia sociale nell'Europa tra ieri e domani","AA.VV.","Lativa","LIBRO DISPONIBILE","945.2","LOM","1.Lombardia-Storia-1789-1989-Saggi",," 302","Varese",,12/09/2002,"1989",3554
,"U03555","Riserva naturali della Lombardia. Vol. 1","AA.VV.","Regione Lombardia","LIBRO DISPONIBILE","719","RIS","1.Riserve naturali-Lombardia",," 396","Milano",,12/09/2002,"1987",3555
,"U03556","Riserve naturali della Lombardia. Vol. 2","AA.VV.","Regione Lombardia","LIBRO DISPONIBILE","719","RIS","1.Rissrve naturali-Lombardia",,"   0","Milano",,12/09/2002,"1987",3556
,"U03557","Danza a milano nel novecento. /Scritti di/ Giuliana Chesne /e altri, La","AA.VV.","Amici della Scala","LIBRO DISPONIBILE","792.809 452 1","DAN","1.Danza-Milano-Sec. XX",," 157","Milano",,10/09/2002,"1986",3557
,"U03558","Esclusi. Fotoreportage da un'istituzione totale, Gli","D'Alessandro, Luciano","Il Diaframma","LIBRO DISPONIBILE","778.9","DAL","1.Psicopatici-Fotografie",,"   0","Milano",,10/10/2002,"1969",3558
,"U03559","Maioliche italiane. Marche e monogrammi","Genolini, Angelo","Libreria Dumolard","LIBRO DISPONIBILE","738.309 45","GEN","1.Maioliche italiane",," 170","Milano",,19/09/2002,"1881",3559
,"U03560","Amici ahrarara","Fichi d'India","Baldini & Castoldi","LIBRO DISPONIBILE","792.7","FIC",,," 141","Milano","Le formiche, 54",28/08/2002,"1999",3560
,"U03561","Lago di Varese. Condizioni ambientali e soluzioni per il risanamento","AA.VV.","Lions Club","LIBRO DISPONIBILE","628.3","LAG","1.Lago di Varese-Risanamento",," 113","Varese",,12/09/2002,"1995",3561
,"U03562","Vie di civilta' insubre","Contini, Serena",,"LIBRO DISPONIBILE",,,,,"   0",,,,,3562
,"U03563","Cool memories. Diari 1980-1990","Baudrillard, Jean","SugarCo","LIBRO DISPONIBILE","848.9","BAU",,," 311","Milano","Argomenti, 131",11/09/2002,"1991",3563
,"U03564","Della libertà. Alexis de Tocqueville e Karl Marx. Libertà formali e libertà reali","Aron, Raymond","SugarCo","LIBRO DISPONIBILE","323.4","ARO","1.Libertà-Saggi",," 215","Milano","Argomenti, 132",11/09/2002,"1991",3564
,"U03565","Colori delle nuvole. A cura di Maria Lettieri, Ernesto Restelli, Laura Vignati, I","AA.VV.","s.e.","LIBRO DISPONIBILE","305.23","COL","1.Adolescenti-Comportamento-Testimonianze",," 107","s.l.",,29/09/2002,"1997",3565
,"U03566","Abbazia di Chiaravalle. Guida storico-artistica, L'","Bagnoli, Raffaele","s.e.","LIBRO DISPONIBILE","726","BAG","1.Abbazia di Chiaravalle milanese",,"  36","Milano",,12/09/2002,"1953",3566
,"U03568","Evoluzione e stile nell'arte rupestre camuna","Anati, Emmanuel","Edizioni Del Centro","LIBRO DISPONIBILE","709.01","ANA","1.Incisioni rupestri-Val Camonica, 2.Arte primitiva-Val Camonica, 3.Camuni",," 158","Capo di Ponte","Archivi, 6",19/09/2002,"1975",3568
,"U03569","Biotopi e geotopi","Ferrari, Giovanni - Galesini Bianchi, Paola - Rossi Porzio, Rossella","Regione Lombardia","LIBRO DISPONIBILE","574.945 2","FER","1.Riserve naturali-Lombardia, 2.Ambiente naturale-Tutela-Lombardia",," 261","Milano","Natura in Lombardia, 7",12/09/2002,"1982",3569
,"U03570","Provincia industriale. Miti e storie dello sviluppo economico tra varesotto e alto milanese, Una. Vol. 1: Dal XVII secol","Macchione, Pietro","Lativa","LIBRO DISPONIBILE","338.945 2","MAC","1.Varese (provincia)-Sviluppo economico-Sec. XVIII-XX, 2.Varese (provincia)-Aziende industriali-Sec. XVIII-XX, 3.Varese (provincia)_Aziende artigiane-Sec. XVIII-XX",," 477","Varese",,12/09/2002,"1989",3570
,"U03571","Antifascisti lombardi alla guerra di Spagna (1936-1939). Milano, Palazzo Marino, 7 novembre 1976. Celebrazioni del 40° a","AA.VV.","s.e.","LIBRO DISPONIBILE","946.081","ANT","1.Spagna-Storia-Guerra civile.1936-1939-Partecipazione degli antifascisti lombardi",,"  48","s.l.",,12/09/2002,"1977",3571
,"U03572","A zonzo nella memoria. Racconti e testimonianze di 64 comunisti varesini. A cura di Giancarlo Aloardi e Amedeo Bianchi","AA.VV.","Città Futura","LIBRO DISPONIBILE","324.245 207 509","AZO","1.Partito comunista italiano-1943-1960-Testimonianze, 2.Comunisti varesini-1943-1960-Testimonianze",," 603","s.l.",,12/09/2002,"1989",3572
,"U03573","Mario Giacomelli: quarant'anni di fotografia, 1954-1994","Giacomelli, Mario","s.e.","LIBRO DISPONIBILE","779","GIA","1.Giacomelli, Mario-Esposizioni-Voltorre-1994",,"  94","s.l.",,11/09/2002,"1994",3573
